de,en,cat,ex,pos,tr
der Bereich,"area, field, sector",Goethe B1,In welchem Bereich möchten Sie arbeiten?,,"alan, bölge"
bereit,"ready, willing",Goethe B1,"Ich bin jederzeit bereit, dir zu helfen.",,hazır
bereits,already,Goethe B1,Sie hat bereits dreimal angerufen.,,"zaten, çoktan"
der Berg,mountain,Goethe B1,Die Zugspitze ist der höchste Berg in Deutschland.,,dağ
berichten,to report,Goethe B1,Alle Zeitungen haben über den Unfall berichtet.,,"haberdar etmek, rapor vermek"
der Bericht,report,Goethe B1,Ich habe gestern einen interessanten Bericht gelesen.,,"rapor, haber"
der Beruf,"profession, job",Goethe B1,Was sind Sie von Beruf?,,meslek
beruflich,"professional, work-related",Goethe B1,Was machen Sie beruflich?,,mesleki
berufstätig,"employed, working",Goethe B1,Sind Sie berufstätig?,,çalışan
beruhigen,to calm down,Goethe B1,Beruhigen Sie sich bitte. Es ist alles in Ordnung.,,sakinleştirmek
berühmt,famous,Goethe B1,Michael Schumacher ist ein berühmter Rennfahrer.,,ünlü
beschädigen,to damage,Goethe B1,"Bitte machen Sie eine Liste davon, was die Einbrecher beschädigt haben.",,hasar vermek
sich beschäftigen,"to occupy oneself, deal with",Goethe B1,Womit haben Sie sich bei Ihrer Arbeit beschäftigt?,,meşgul olmak
die Beschäftigung,"occupation, activity",Goethe B1,Ich suche eine Halbtagsbeschäftigung.,,"iş, uğraşı"
der Bescheid,"decision, notice",Goethe B1,Den endgültigen Bescheid erhalten Sie in etwa vier Wochen.,,"karar, bildirim"
Bescheid sagen/geben,"to let know, inform",Goethe B1,Ich sage Ihnen dann Bescheid.,,haber vermek
beschließen,to decide,Goethe B1,"Wir haben beschlossen, uns ein kleineres Auto zu kaufen.",,karar vermek
beschränken,"to limit, restrict",Goethe B1,Die Teilnehmerzahl für den Kurs ist beschränkt.,,"kısıtlamak, sınırlamak"
beschreiben,to describe,Goethe B1,Kannst du mir den Weg zum Flughafen beschreiben?,,tarif etmek
sich beschweren,to complain,Goethe B1,Wo können wir uns beschweren?,,şikayet etmek
besetzen,to occupy,Goethe B1,Dieser Platz ist besetzt.,,"işgal etmek, meşgul"
besichtigen,"to visit, sightsee",Goethe B1,Im Urlaub haben wir Schloss Schönbrunn besichtigt.,,"gezmek, ziyaret etmek"
besitzen,"to own, possess",Goethe B1,Besitzt Ihre Frau ein eigenes Auto?,,sahip olmak
besonder-,special,Goethe B1,Meine Eltern wollten uns eine ganz besondere Freude machen.,,özel
besonders,"especially, particularly",Goethe B1,Ich habe heute ein besonders günstiges Angebot gesehen.,,özellikle
besorgen,"to get, obtain",Goethe B1,Soll ich die Eintrittskarten besorgen?,,"temin etmek, almak"
besprechen,to discuss,Goethe B1,"Wir müssen noch genau besprechen, wann wir losfahren.",,"görüşmek, konuşmak"
die Besprechung,"meeting, discussion",Goethe B1,"Tut mir leid, Herr Schmidt ist noch in einer Besprechung.",,toplantı
die Besserung,"improvement, recovery",Goethe B1,Gute Besserung!,,"iyileşme, geçmiş olsun"
bestätigen,to confirm,Goethe B1,Die Firma hat mir den Termin schriftlich bestätigt.,,"onaylamak, teyit etmek"
die Bestätigung,confirmation,Goethe B1,Ich brauche eine schriftliche Bestätigung für das Amt.,,"onay, teyit"
bestehen,"to consist of, pass (exam)",Goethe B1,Das Modul Lesen besteht aus fünf Teilen.,,"oluşmak, geçmek (sınav)"
bestellen,to order,Goethe B1,Wir haben Pizza bestellt.,,sipariş vermek
bestimmt,"certainly, specific",Goethe B1,Das hat Nancy bestimmt nicht so gemeint.,,"kesinlikle, belli"
bestrafen,to punish,Goethe B1,Zu schnelles Fahren wird streng bestraft.,,cezalandırmak
besuchen,to visit,Goethe B1,Besuchen Sie uns doch mal.,,ziyaret etmek
der Besuch,"visit, visitor",Goethe B1,Wir bekommen Besuch.,,ziyaret
sich beteiligen,to participate,Goethe B1,Wer möchte sich beteiligen?,,katılmak
der Betrag,"amount, sum",Goethe B1,Bitte überweisen Sie den Betrag auf unser Konto.,,"tutar, miktar"
betreuen,"to take care of, look after",Goethe B1,Wer betreut bei Ihnen die Kinder?,,"bakmak, ilgilenmek"
der Betreuer / die Betreuerin,"caregiver, supervisor",Goethe B1,Die Betreuerin der Kinder ist sehr nett.,,"bakıcı, sorumlu"
die Betreuung,"care, supervision",Goethe B1,Haben Sie eine Betreuung für Ihre Kinder?,,"bakım, gözetim"
der Betrieb,"company, operation",Goethe B1,In diesem Betrieb arbeiten zehn Leute.,,"işletme, şirket"
der Betriebsrat / die Betriebsrätin,works council,Goethe B1,Der Betriebsrat wird Sie informieren.,,işçi temsilcisi
betrügen,"to cheat, deceive",Goethe B1,Ich würde meine Familie niemals betrügen.,,"aldatmak, hile yapmak"
betrunken,drunk,Goethe B1,"Wenn Sie betrunken Auto fahren, verlieren Sie Ihren Führerschein.",,sarhoş
das Bett,bed,Goethe B1,Wir wollten uns neue Betten kaufen.,,yatak
die Bevölkerung,population,Goethe B1,11 % der Bevölkerung wurden nicht im Inland geboren.,,nüfus
bevor,before,Goethe B1,"Bevor wir gehen, möchte ich noch etwas essen.",,"önce, -madan önce"
bewegen,to move,Goethe B1,Ich kann mich vor Schmerzen kaum noch bewegen.,,hareket etmek
die Bewegung,"movement, exercise",Goethe B1,Sie brauchen mehr Bewegung.,,"hareket, egzersiz"
beweisen,to prove,Goethe B1,"Wir können beweisen, dass Sie bei Rot über die Ampel gefahren sind.",,kanıtlamak
der Beweis,"evidence, proof",Goethe B1,Haben Sie dafür Beweise?,,"kanıt, delil"
sich bewerben,to apply (for job),Goethe B1,Ich habe mich um diese Stelle beworben.,,başvurmak (iş)
die Bewerbung,application,Goethe B1,Wohin soll ich meine Bewerbung schicken?,,"başvuru, iş başvurusu"
der Bewohner / die Bewohnerin,"resident, inhabitant",Goethe B1,Ich kenne die anderen Hausbewohner nicht.,,"sakin, ikamet eden"
bezahlen,to pay,Goethe B1,Hast du die Rechnung schon bezahlt?,,ödemek
die Beziehung,"relationship, connection",Goethe B1,Wir haben gute Beziehungen zu unseren Nachbarn.,,ilişki
die Bibliothek,library,Goethe B1,Die Stadtbibliothek hat bereits geschlossen.,,kütüphane
das Bier,beer,Goethe B1,"Ein Bier, bitte!",,bira
bieten,"to offer, bid",Goethe B1,Er hat mir für den alten Wagen noch 800 Euro geboten.,,"teklif etmek, sunmak"
das Bild,"picture, image",Goethe B1,Ein Bild von meinen Kindern hängt über meinem Schreibtisch.,,"resim, fotoğraf"
der Bildschirm,"screen, monitor",Goethe B1,Ich brauche einen größeren Bildschirm für meinen Computer.,,ekran
das Billett,ticket,Goethe B1,Ein Billett können Sie am Schalter kaufen.,,bilet
billig,cheap,Goethe B1,Dieses Buch ist nicht ganz billig.,,ucuz
die Biologie,biology,Goethe B1,Meine Freundin studiert Biologie.,,biyoloji
Bio- / bio(logisch),"organic, biological",Goethe B1,Ich kaufe nur noch Biogemüse.,,"organik, biyolojik"
die Birne,"pear, light bulb",Goethe B1,Die Birnen sind heute besonders schön.,,"armut, ampul"
bis,"until, up to",Goethe B1,Die Linie 8 fährt nur bis zum Hauptbahnhof.,,-e kadar
bisher,"so far, up to now",Goethe B1,Bisher ist alles in Ordnung.,,şimdiye kadar
ein bisschen,"a little, a bit",Goethe B1,"Wenn Sie ein bisschen warten, können wir zusammen gehen.",,biraz
bitten,"to ask, request",Goethe B1,"Darf ich Sie bitten, kurz zuzuhören?",,rica etmek
die Bitte,request,Goethe B1,Ich habe eine Bitte.,,"rica, istek"
bitte,please,Goethe B1,"Eine Tasse Kaffee, bitte!",,lütfen
bitter,bitter,Goethe B1,Hast du Zucker? Der Tee ist sehr bitter.,,acı
blass,pale,Goethe B1,Du siehst ganz blass aus. Bist du krank?,,"soluk, benzi sararmış"
das Blatt,"leaf, sheet (of paper)",Goethe B1,Die Bäume bekommen schon gelbe Blätter.,,"yaprak, sayfa"
bleiben,"to stay, remain",Goethe B1,Ich bleibe heute zu Hause.,,kalmak
der Bleistift,pencil,Goethe B1,Hast du einen Bleistift für mich?,,kurşun kalem
der Blick,"glance, view",Goethe B1,Von hier hat man einen tollen Blick über die Stadt.,,"bakış, manzara"
blind,blind,Goethe B1,Er ist von Geburt an blind.,,kör
blitzen,"to lightning, flash",Goethe B1,Gestern Abend hat es furchtbar geblitzt und gedonnert.,,şimşek çakmak
der Blitz,lightning,Goethe B1,"Was für ein Gewitter, hast du den Blitz gesehen?",,şimşek
blond,blonde,Goethe B1,Mein Sohn ist blond.,,sarışın
bloß,"just, merely",Goethe B1,Ich möchte mich bloß umsehen.,,"sadece, yalnızca"
blühen,"to bloom, blossom",Goethe B1,Die Bäume blühen schon.,,çiçek açmak
die Blume,flower,Goethe B1,Wir haben meiner Mutter Blumen zum Geburtstag geschenkt.,,çiçek
die Bluse,blouse,Goethe B1,Ich hätte gerne eine weiße Bluse.,,bluz
bluten,to bleed,Goethe B1,Ich habe mich verletzt. Meine Hand blutet.,,kanamak
das Blut,blood,Goethe B1,Der Verletzte hat viel Blut verloren.,,kan
der Boden,"floor, ground, soil",Goethe B1,Die Bücher lagen alle auf dem Boden.,,"zemin, toprak"
der Bogen,"sheet, arc, bow",Goethe B1,Bitte schreiben Sie Ihren Namen auf den Antwortbogen.,,"form kağıdı, yay"
die Bohne,bean,Goethe B1,Ich esse gern Bohnen.,,fasulye
das Boot,boat,Goethe B1,An diesem See kann man Boote mieten.,,tekne
die Botschaft,"embassy, message",Goethe B1,Das Visum habe ich von der Botschaft erhalten.,,"büyükelçilik, mesaj"
der Brief,letter,Goethe B1,Ich schreibe nicht gern Briefe.,,mektup
der Briefkasten,"mailbox, letterbox",Goethe B1,Ist hier in der Nähe ein Briefkasten?,,posta kutusu
die Briefmarke,stamp,Goethe B1,Briefmarken bekommen Sie am Schalter 7.,,pul
der Briefträger / die Briefträgerin,mail carrier,Goethe B1,War die Briefträgerin schon da?,,postacı
böse,"angry, bad, evil",Goethe B1,Hoffentlich bist du mir nicht böse.,,"kızgın, kötü"
braten,"to roast, fry",Goethe B1,Das Fleisch muss zehn Minuten braten.,,"kızartmak, kavurmak"
der Braten,roast (meat),Goethe B1,Der Braten ist sehr saftig.,,"et kavurması, kızartma"
der Briefumschlag,envelope,Goethe B1,Ich hätte gern 50 Briefumschläge.,,zarf
die Brieftasche,wallet,Goethe B1,Ich habe nur Kleingeld in meiner Brieftasche.,,cüzdan
die Brille,"glasses, spectacles",Goethe B1,Ich brauche eine neue Brille.,,gözlük
bringen,to bring,Goethe B1,Bringen Sie mir bitte ein Glas Tee!,,getirmek
brauchen,to need,Goethe B1,Ich brauche ein Auto.,,ihtiyacı olmak
die Broschüre,brochure,Goethe B1,In der Broschüre finden Sie die neuesten Informationen.,,broşür
das Brot,bread,Goethe B1,Brot kaufe ich immer beim Bäcker.,,ekmek
brechen,to break,Goethe B1,"Er hat sich beim Skifahren verletzt, sein Bein ist gebrochen.",,kırmak
breit,"wide, broad",Goethe B1,Der Teppich ist zwei Meter lang und einen Meter breit.,,geniş
die Breite,"width, breadth",Goethe B1,Welche Maße hat der Tisch? – Breite: 80 cm.,,"genişlik, en"
bremsen,to brake,Goethe B1,Ich musste stark bremsen.,,fren yapmak
die Bremse,brake,Goethe B1,Du musst unbedingt die Bremsen kontrollieren lassen.,,fren
brennen,to burn,Goethe B1,In diesem Haus hat es letztes Jahr gebrannt.,,yanmak
das Brötchen / das Brötli,bread roll,Goethe B1,Ich hole schnell ein paar Brötchen zum Frühstück.,,"ekmek rulosu, sandviç ekmeği"
die Brücke,bridge,Goethe B1,Fahren Sie über die nächste Brücke und dann rechts.,,köprü
der Bruder,brother,Goethe B1,Mein jüngster Bruder geht noch zur Schule.,,erkek kardeş
die Brust,"chest, breast",Goethe B1,Ich habe Schmerzen in der Brust.,,göğüs
der Bub,boy (Austrian/Swiss),Goethe B1,In der Schulklasse sind 15 Buben und 10 Mädchen.,,oğlan (Avusturya/İsviçre)
das Buch,book,Goethe B1,Haben Sie ein Buch über die Geschichte von Berlin?,,kitap
die Buchhandlung,"bookshop, bookstore",Goethe B1,In der Buchhandlung haben sie das Buch sicher.,,kitabevi
buchen,"to book, reserve",Goethe B1,Ich habe für morgen einen Flug nach Rom gebucht.,,rezervasyon yapmak
buchstabieren,to spell,Goethe B1,Würden Sie Ihren Namen bitte buchstabieren?,,"harfleri söylemek, hecelemek"
der Buchstabe,letter (alphabet),Goethe B1,Gibt es diesen Buchstaben auch in deiner Muttersprache?,,harf
die Büchse,"can, tin",Goethe B1,Ich habe noch eine Büchse Bohnen.,,konserve kutusu
das Buffet,buffet,Goethe B1,Das Buffet ist eröffnet!,,büfe
die Bühne,stage,Goethe B1,Er steht gern auf der Bühne.,,sahne
bunt,colorful,Goethe B1,Das bunte Kleid gefällt mir gut.,,renkli
die Burg,"castle, fortress",Goethe B1,Von der Burg hat man eine schöne Aussicht.,,kale
der Bürger / die Bürgerin,citizen,Goethe B1,EU-Bürgerinnen und Bürger können überall in Europa arbeiten.,,vatandaş
das Büro,office,Goethe B1,Unser Büro bleibt samstags geschlossen.,,ofis
die Bürste / die Zahnbürste,brush / toothbrush,Goethe B1,Ich brauche eine neue Zahnbürste.,,fırça / diş fırçası
der Bus,bus,Goethe B1,Ich fahre meistens mit dem Bus zur Arbeit.,,otobüs
die Butter,butter,Goethe B1,Ich möchte nur Butter aufs Brot.,,tereyağı
das Café,café,Goethe B1,Hier in der Nähe ist ein Café.,,kafe
die Cafeteria,cafeteria,Goethe B1,Ich hole mir schnell etwas aus der Cafeteria.,,kafeterya
die Chance,"chance, opportunity",Goethe B1,"Mein Mann hat gute Chancen, die Stelle zu bekommen.",,"şans, fırsat"
der Chef / die Chefin,"boss, manager",Goethe B1,Das muss ich erst die Chefin fragen.,,"patron, yönetici"
chic / schick,"stylish, chic",Goethe B1,Ich finde dein Kleid sehr chic.,,şık
der Coiffeur,hairdresser (Swiss),Goethe B1,Du siehst toll aus! Wer ist dein Coiffeur?,,kuaför (İsviçre)
die Couch,"couch, sofa",Goethe B1,Wir haben uns eine Couch gekauft.,,kanepe
die Creme,"cream, lotion",Goethe B1,Ich hätte gern eine Creme für die Hände.,,krem
der Cousin / die Cousine,cousin,Goethe B1,Meine Cousine wohnt jetzt in Brasilien.,,kuzen
das Couvert,envelope (Swiss),Goethe B1,Ich hätte gern 50 Couverts.,,zarf (İsviçre)
da,"there, here, since",Goethe B1,Da drüben ist ein Getränkeautomat.,,"orada, şurada"
dabei,"with it, in doing so",Goethe B1,Was hast du dir dabei gedacht?,,"bununla, bu sırada"
das Dach,roof,Goethe B1,Wir müssen das Dach reparieren lassen.,,çatı
dafür,"for it, in favor",Goethe B1,Ich interessiere mich nicht dafür.,,"bunun için, onun yerine"
dagegen,against it,Goethe B1,Fahr nicht dagegen!,,"karşı, buna karşı"
daher,"therefore, from there",Goethe B1,"Ich bin erkältet, daher kann ich nicht kommen.",,bu yüzden
dahin,"until then, there",Goethe B1,Bis dahin können wir einen Kaffee trinken.,,"oraya, o zamana kadar"
damals,"at that time, back then",Goethe B1,Damals hatte ich kein Geld dafür.,,"o zamanlar, eskiden"
die Dame,lady,Goethe B1,Sie ist eine nette alte Dame.,,"hanım, bayan"
damit,"so that, with it",Goethe B1,"Mach schnell, damit wir nicht zu spät kommen.",,"böylece, onunla"
danach,"afterwards, then",Goethe B1,"Zuerst gehen wir einkaufen, danach grillen wir.",,sonrasında
daneben,"next to it, beside",Goethe B1,Gleich daneben ist die Bank.,,hemen yanında
danken,to thank,Goethe B1,Ich danke dir für die Einladung.,,teşekkür etmek
der Dank,"thanks, gratitude",Goethe B1,Vielen Dank für Ihre Mühe.,,"teşekkür, şükran"
dankbar,grateful,Goethe B1,Ich bin Ihnen sehr dankbar für Ihre Hilfe.,,minnettar
danke,thank you,Goethe B1,"Soll ich Ihnen helfen? Nein, danke.",,teşekkürler
dann,then,Goethe B1,"Ich muss noch schnell zur Post, dann komme ich.",,"sonra, o zaman"
darstellen,"to represent, depict",Goethe B1,Er konnte das Problem sehr gut darstellen.,,"temsil etmek, anlatmak"
die Darstellung,"depiction, presentation",Goethe B1,Ihr Buch enthält eine klare Darstellung dieser Probleme.,,"sunum, tasvir"
dauern,"to last, take time",Goethe B1,Wie lange dauert die Pause?,,sürmek
die Dauer,duration,Goethe B1,Sie können das Buch für die Dauer behalten.,,süre
dauernd,"constantly, always",Goethe B1,Das dauernde Klingeln des Telefons stört mich.,,"sürekli, devamlı"
die Decke,"ceiling, blanket",Goethe B1,Im Wohnzimmer haben wir keine Lampe an der Decke.,,"tavan, battaniye"
dekorieren,to decorate,Goethe B1,"Hilfst du mir, den Tisch für die Party zu dekorieren?",,dekore etmek
denken,to think,Goethe B1,Du lachst - was denkst du gerade?,,düşünmek
der Gedanke,"thought, idea",Goethe B1,Ich muss zuerst meine Gedanken sammeln.,,düşünce
das Denkmal,"monument, memorial",Goethe B1,In dieser Stadt gibt es viele berühmte Denkmäler.,,anıt
denn,"because, for",Goethe B1,"Ich lerne Portugiesisch, denn ich möchte nach Südamerika reisen.",,"çünkü, zira"
dass,that (conjunction),Goethe B1,"Rico hat mir gesagt, dass er auch zur Party kommt.",,ki
die Datei,file (computer),Goethe B1,Wo hast du die Datei gespeichert?,,dosya
das Datum,date,Goethe B1,Welches Datum haben wir heute?,,tarih
die Daten,data,Goethe B1,Wir haben alle Ihre Daten im Computer.,,"veriler, bilgiler"
derselbe / dieselbe / dasselbe,the same,Goethe B1,Mein Freund und ich gehen in dieselbe Schule.,,aynı
deshalb,"therefore, that's why",Goethe B1,Ich war krank. Deshalb war ich nicht im Büro.,,bu yüzden
das Dessert,dessert,Goethe B1,Nach dem Essen gab es noch ein leckeres Dessert.,,tatlı
deswegen,"because of that, therefore",Goethe B1,Ich habe falsch geparkt. Deswegen habe ich einen Strafzettel bekommen.,,bu yüzden
das Detail,detail,Goethe B1,Dieses Detail ist unwichtig.,,"ayrıntı, detay"
deutlich,"clear, distinct",Goethe B1,Schreiben Sie bitte deutlich!,,"açık, belirgin"
die Diät,diet,Goethe B1,Deshalb mache ich eine Diät.,,diyet
der Dialekt,dialect,Goethe B1,"Ich verstehe dich besser, wenn du nicht Dialekt sprichst.",,"dialekt, ağız"
der Dialog,dialogue,Goethe B1,Sie hören jetzt einen Dialog.,,diyalog
dicht,"dense, sealed",Goethe B1,Unsere Fenster sind nicht dicht.,,"sıkı, yoğun, kapalı"
dick,"fat, thick",Goethe B1,Ich bin zu dick.,,"şişman, kalın"
der Dieb / die Diebin,thief,Goethe B1,Ein Dieb hat mir die Tasche gestohlen.,,hırsız
dienen,to serve,Goethe B1,Solche Kontakte dienen der Verbesserung der Beziehungen.,,hizmet etmek
der Dienst,"service, shift, duty",Goethe B1,Als Krankenschwester habe ich oft Frühdienst.,,"görev, vardiya"
dies-,this,Goethe B1,Wohin fährst du dieses Jahr in Urlaub?,,"bu, şu"
diskutieren,"to discuss, debate",Goethe B1,Wir haben lange diskutiert.,,"tartışmak, müzakere etmek"
die Diskussion,"discussion, debate",Goethe B1,Im Fernsehen gab es eine Diskussion.,,tartışma
die Distanz,distance,Goethe B1,Diese Firma transportiert Waren über große Distanzen.,,mesafe
doch,"yes (after negative), but, after all",Goethe B1,"Isst du kein Fleisch? – Doch, manchmal schon.",,"ama, aksine, hayır tam tersine"
der Doktor,"doctor, PhD",Goethe B1,Ist Frau Dr. Müller da?,,doktor
das Dokument,document,Goethe B1,Hast du alle Dokumente dabei?,,"belge, evrak"
donnern,to thunder,Goethe B1,Hörst du es donnern?,,gök gürlemek
der Donner,thunder,Goethe B1,Der Donner kam erst lange nach dem Blitz.,,gök gürültüsü
